Trial,condition,mask,stim_size,load,correct_resp1,correct_resp2,target_ntarget,imagegroup,matcharrow
1,fractals,0,0.15,1,2,right,0,0,{RIGHTARROW}
2,fractals,0,0.15,1,2,right,0,0,{RIGHTARROW}
3,fractals,0,0.15,1,2,right,0,0,{RIGHTARROW}
4,fractals,0,0.15,1,2,right,0,0,{RIGHTARROW}
5,fractals,0,0.15,1,2,right,0,0,{RIGHTARROW}
6,fractals,0,0.15,1,2,right,0,0,{RIGHTARROW}
7,fractals,0,0.15,1,2,right,0,0,{RIGHTARROW}
8,fractals,0,0.15,1,2,right,0,0,{RIGHTARROW}
9,fractals,0,0.15,1,2,right,0,0,{RIGHTARROW}
10,fractals,0,0.15,1,2,right,0,0,{RIGHTARROW}
11,fractals,0,0.15,1,1,left,1,0,{LEFTARROW}
12,fractals,0,0.15,1,1,left,1,0,{LEFTARROW}
13,fractals,0,0.15,1,1,left,1,0,{LEFTARROW}
14,fractals,0,0.15,1,1,left,1,0,{LEFTARROW}
15,fractals,0,0.15,1,1,left,1,0,{LEFTARROW}
16,fractals,0,0.15,1,1,left,1,0,{LEFTARROW}
17,fractals,0,0.15,1,1,left,1,0,{LEFTARROW}
18,fractals,0,0.15,1,1,left,1,0,{LEFTARROW}
19,fractals,0,0.15,1,1,left,1,0,{LEFTARROW}
20,fractals,0,0.15,1,1,left,1,0,{LEFTARROW}
21,fractals,0,0.15,4,1,left,1,0,{LEFTARROW}
22,fractals,0,0.15,4,1,left,1,0,{LEFTARROW}
23,fractals,0,0.15,4,1,left,1,0,{LEFTARROW}
24,fractals,0,0.15,4,1,left,1,0,{LEFTARROW}
25,fractals,0,0.15,4,1,left,1,0,{LEFTARROW}
26,fractals,0,0.15,4,1,left,1,0,{LEFTARROW}
27,fractals,0,0.15,4,1,left,1,0,{LEFTARROW}
28,fractals,0,0.15,4,1,left,1,0,{LEFTARROW}
29,fractals,0,0.15,4,1,left,1,0,{LEFTARROW}
30,fractals,0,0.15,4,1,left,1,0,{LEFTARROW}
31,fractals,0,0.15,4,2,right,0,0,{RIGHTARROW}
32,fractals,0,0.15,4,2,right,0,0,{RIGHTARROW}
33,fractals,0,0.15,4,2,right,0,0,{RIGHTARROW}
34,fractals,0,0.15,4,2,right,0,0,{RIGHTARROW}
35,fractals,0,0.15,4,2,right,0,0,{RIGHTARROW}
36,fractals,0,0.15,4,2,right,0,0,{RIGHTARROW}
37,fractals,0,0.15,4,2,right,0,0,{RIGHTARROW}
38,fractals,0,0.15,4,2,right,0,0,{RIGHTARROW}
39,fractals,0,0.15,4,2,right,0,0,{RIGHTARROW}
40,fractals,0,0.15,4,2,right,0,0,{RIGHTARROW}
